a	art.—
airlift	n.空輸@vt.空輸する
airline	n.航空会社
airliner	n.旅客機@n.定期航空機
airliners	n.旅客機
airlines	n.航空会社
airmail	n.航空便@a.航空郵便の
airman	n.航空兵@n.飛行士
airmen	n.飛行士@n.空軍兵
airplay	n.放送回数@n.エアプレイ
airport	n.空港
airports	n.空港
airs	n.態度@n.気取り
airship	n.飛行船
airshow	n.航空ショー
airspace	n.空域@n.領空
airspeed	n.対気速度
airstrike	n.空爆
airstrip	n.滑走路@n.飛行場
airtight	a.気密の@a.完璧な
airtime	n.放送時間@n.通話時間
airwaves	n.電波@n.放送
airway	n.気道@n.航空路
airways	n.航空会社@n.気道
airworthiness	n.耐空性@n.飛行安全性
airy	a.風通しの良い@a.軽やかな
ais	n.AI
aisha	n.アイシャ
aisle	n.通路@n.側廊
aisles	n.通路@n.側廊
ait	n.小島
aitken	n.エイトケン
ajax	n.Ajax
ajmer	n.アジメール
aka	ad.別名@ad.またの名を
akbar	n.アクバル
akin	a.同族の@a.類似した
akita	n.秋田@n.秋田犬
akron	n.アクロン
al	n.アル
ala	prep.〜風の@n.翼
alabama	n.アラバマ
alabaster	n.アラバスター@n.雪花石膏
aladdin	n.アラジン
alameda	n.アラメダ
alamo	n.アラモ
alamogordo	n.アラモゴード
alan	n.アラン
alana	n.アラナ
alanine	n.アラニン
alarm	n.アラーム@n.警報@v.警報を鳴らす
alarmed	a.驚いた@v.警報を鳴らした
alarming	a.驚くべき@a.心配な
alarms	n.警報@n.アラーム@v.警告する
alas	int.ああ@int.悲しいかな
alaska	n.アラスカ
alaskan	a.アラスカの@n.アラスカ人
alb	n.アルブ@n.白衣
alba	n.アルバ
alban	n.アルバン
albania	n.アルバニア
albanian	a.アルバニアの@n.アルバニア人
albanians	n.アルバニア人
albany	n.オールバニー
albatross	n.アホウドリ@n.重荷
albedo	n.アルベド@n.反射率
albee	n.オールビー
albeit	conj.〜ではあるが
albemarle	n.アルベマール
albert	n.アルバート
alberta	n.アルバータ
alberto	n.アルベルト
albino	n.アルビノ@n.白子
albion	n.アルビオン
albright	n.オルブライト
album	n.アルバム
albumin	n.アルブミン
albums	n.アルバム
albuquerque	n.アルバカーキ
alcatraz	n.アルカトラズ
alchemist	n.錬金術師
alchemy	n.錬金術
alcoa	n.アルコア
alcohol	n.アルコール@n.酒
alcoholic	a.アルコールの@n.アルコール依存症者
alcoholics	n.アルコール依存症者
alcoholism	n.アルコール依存症
alcohols	n.アルコール
alcott	n.オルコット
alcove	n.アルコーブ@n.床の間
ald	n.原子層堆積
aldehyde	n.アルデヒド
alden	n.オールデン
alder	n.ハンノキ
alderman	n.市会議員
aldermen	n.市会議員@n.参事
aldershot	n.オルダーショット
aldo	n.アルド
aldosterone	n.アルドステロン
ale	n.エール@n.エールビール
alec	n.アレック
alejandro	n.アレハンドロ
aleph	n.アレフ
alert	n.警告@a.警戒した@v.警告する
alerted	v.警告した@a.警戒した
alerting	v.警告する@n.警報
alertness	n.油断のなさ@n.注意深さ
alerts	n.警告@v.警告する
ales	n.エール@n.エールビール
aleutian	a.アリューシャンの
alex	n.アレックス
alexander	n.アレクサンダー
alexandra	n.アレクサンドラ
alexandria	n.アレクサンドリア
alexandrite	n.アレキサンドライト
alexei	n.アレクセイ
alexia	n.アレクシア@n.失読症
alexis	n.アレクシス
alfalfa	n.アルファルファ
alfonso	n.アルフォンソ
alford	n.アルフォード
alfred	n.アルフレッド
alfredo	n.アルフレード
alg	n.代数学@n.アルゴリズム
algae	n.藻類@n.藻
algal	a.藻類の
algebra	n.代数@n.代数学
algebraic	a.代数の@a.代数学の
algebras	n.代数学
alger	n.アルジャー
algeria	n.アルジェリア
algerian	n.アルジェリア人@a.アルジェリアの
algiers	n.アルジェ
algonquin	n.アルゴンキン族
algorithm	n.アルゴリズム
algorithmic	a.アルゴリズムの
algorithms	n.アルゴリズム
alhambra	n.アルハンブラ
ali	n.アリ
alias	n.エイリアス@n.別名
aliases	n.別名@n.エイリアス
aliasing	n.エイリアシング@n.折り返し
alibi	n.アリバイ@n.言い訳
alicante	n.アリカンテ
alice	n.アリス
alicia	n.アリシア
alien	n.宇宙人@a.外国の@n.外国人
alienate	vt.疎外する@vt.遠ざける
alienated	v.疎外した@a.疎遠になった
alienating	vt.疎外する@a.離間させる
alienation	n.疎外@n.疎遠
aliens	n.宇宙人@n.外国人
alight	vi.降りる@a.燃えている
align	v.整列させる@v.調整する
aligned	a.整列した@v.整列させた
aligning	v.整列する@v.調整する
alignment	n.位置合わせ@n.整列
alignments	n.整列@n.アラインメント
aligns	vt.整列させる@vi.提携する
alike	a.似ている@ad.同様に
alimentation	n.栄養補給@n.扶養
alimony	n.扶養手当@n.離婚手当
aline	vt.整列させる@n.アライン
aliphatic	a.脂肪族の
alisa	n.アリサ
alisha	n.アリシャ
alison	n.アリソン
alissa	n.アリッサ
alistair	n.アリステア
alive	a.生きている@a.活発な
alk	n.アルカリ
alkali	n.アルカリ
alkaline	a.アルカリ性の
alkalinity	n.アルカリ性@n.アルカリ度
alkaloids	n.アルカロイド
alkyl	n.アルキル
all	a.全ての@pron.全て
allah	n.アッラー
allahabad	n.アラハバード
allan	n.アラン
allegation	n.申し立て@n.主張
allegations	n.主張@n.申し立て
allege	v.申し立てる@v.主張する
alleged	a.申し立てられた@a.疑惑の
allegedly	ad.申し立てによると@ad.伝えられるところでは
alleges	v.主張する@v.申し立てる
allegheny	n.アレゲニー
allegiance	n.忠誠@n.忠義
alleging	v.申し立てる@v.主張する
allegorical	a.寓意的な
allegory	n.寓話@n.たとえ話
allegra	n.アレグラ
allegro	ad.アレグロで@n.アレグロ
allele	n.対立遺伝子@n.アレル
alleles	n.対立遺伝子
allelic	a.対立遺伝子の
allen	n.アレン
allende	n.アジェンデ
allentown	n.アレンタウン
allergen	n.アレルゲン
allergenic	a.アレルギー性の
allergens	n.アレルゲン@n.アレルギー誘発物質
allergic	a.アレルギーの@a.アレルギー性の
allergies	n.アレルギー
allergy	n.アレルギー
alleviate	vt.緩和する@vt.軽減する
alleviated	vt.軽減した@a.緩和された
alleviating	vt.緩和する@a.軽減する
alleviation	n.軽減@n.緩和
alley	n.路地@n.小道
alleys	n.路地@n.裏通り
alliance	n.同盟@n.アライアンス
alliances	n.同盟@n.提携
allie	n.アリー
allied	a.同盟した@a.関連した
allies	n.同盟国@n.味方
alligator	n.アリゲーター@n.ワニ
alligators	n.ワニ
allison	n.アリソン
allium	n.ネギ属
allocate	vt.割り当てる@vt.配分する
allocated	v.割り当てた@a.配分された
allocates	v.割り当てる@v.配分する
allocating	v.割り当てる@n.配分
allocation	n.割り当て@n.配分
allocations	n.割り当て@n.配分
allocator	n.割り当て機@n.アロケータ
allot	vt.割り当てる@vt.配分する
allotment	n.割り当て@n.分配
allotments	n.割り当て@n.割当地
allotted	v.割り当てた@a.割り当てられた
allow	v.許可する@v.許す
allowable	a.許容できる@a.認められる
allowance	n.手当@n.許容量
allowances	n.手当@n.控除
allowed	a.許可された@v.許可した
allowing	v.許可している
allows	v.許可する
alloy	n.合金@vt.合金にする
alloys	n.合金
allstate	n.オールステート
alluded	v.ほのめかした@v.言及した
allure	n.魅力@vt.誘惑する
alluring	a.魅惑的な@v.誘惑する
allusion	n.暗示@n.ほのめかし
allusions	n.暗示@n.ほのめかし
alluvial	a.沖積の@a.堆積した
ally	n.同盟国@n.味方@v.同盟を結ぶ
allyn	n.アリン
allyson	n.アリソン
alma	n.アルマ
almanac	n.年鑑@n.暦
almanacs	n.年鑑@n.暦
almaty	n.アルマトイ
almighty	a.全能の@n.全能者
almond	n.アーモンド
almonds	n.アーモンド
almost	ad.ほとんど
alms	n.施し物@n.喜捨
aloe	n.アロエ
aloft	ad.高く@ad.空中に
aloha	int.アロハ@n.歓迎
alone	a.一人の@ad.一人で
along	prep.〜に沿って@ad.一緒に
alongside	prep.並んで@ad.側に
alonzo	n.アロンゾ
aloof	a.よそよそしい@ad.離れて
alopecia	n.脱毛症
aloud	ad.声に出して@ad.大声で
alp	n.アルプ@n.高山
alpaca	n.アルパカ
alpacas	n.アルパカ
alpert	n.アルパート
alpha	n.アルファ
alphabet	n.アルファベット
alphabetic	a.アルファベットの@a.abc順の
alphabetical	a.アルファベット順の
alphabetically	ad.アルファベット順に
alphabets	n.アルファベット@n.文字
alphanumeric	a.英数字の
alphanumerical	a.英数字の
alphonse	n.アルフォンス
alpine	a.アルプスの@a.高山の
alps	n.アルプス
already	ad.すでに@ad.もう
alright	a.大丈夫な@ad.まあまあ
alsace	n.アルザス
also	ad.〜もまた
alston	n.アルストン
alt	n.オルト@a.代替の
alta	n.アルタ
altair	n.アルタイル
altar	n.祭壇@n.聖壇
altars	n.祭壇
alter	vt.変更する@vt.変える
alteration	n.変更@n.改造
alterations	n.変更@n.修正
altercation	n.口論@n.言い争い
altered	a.変更された@v.変えた
altering	v.変更する@v.修正する
alternate	a.交互の@vi.交替する@n.代理
alternately	ad.交互に@ad.代わる代わる
alternates	v.交互にする@n.代理
alternating	a.交互の@v.交代する
alternation	n.交代@n.交替
alternative	n.代替案@a.代替の
alternatively	ad.あるいは@ad.代わりに
alternatives	n.代替案@n.選択肢
alternator	n.オルタネーター@n.交流発電機
alternators	n.オルタネーター@n.交流発電機
alters	v.変える@v.変更する
although	conj.〜だけれども
altimeter	n.高度計
altitude	n.高度@n.標高
altitudes	n.高度@n.標高
altman	n.アルトマン
alto	n.アルト@a.アルトの
altogether	ad.全く@ad.全体で
alton	n.アルトン
altona	n.アルトナ
altoona	n.アルトゥーナ
altos	n.アルト
altruism	n.利他主義@n.愛他心
altruistic	a.利他的な@a.無私の
alum	n.ミョウバン@n.卒業生
alumina	n.アルミナ
aluminium	n.アルミニウム
alumna	n.女性卒業生
alumnae	n.女性卒業生
alumni	n.卒業生
alumnus	n.卒業生@n.同窓生
alums	n.卒業生@n.ミョウバン
alva	n.アルバ
alvarado	n.アルバラード
alvarez	n.アルバレス
alvaro	n.アルバロ
alveolar	a.歯槽の@a.肺胞の
alvin	n.アルヴィン
always	ad.いつも@ad.常に
alyson	n.アリソン
alyssa	n.アリッサ
alzheimer	n.アルツハイマー
am	v.である
amadeus	n.アマデウス
amalgam	n.合金@n.混合物
amalgamated	a.合併した@vt.合同した
amalgamation	n.合併@n.融合
amanda	n.アマンダ
amaranth	n.アマランサス@n.ヒユ
amaretto	n.アマレット
amarillo	n.アマリロ
amaryllis	n.アマリリス
amassed	vt.蓄積した@a.集めた
amateur	n.アマチュア@a.アマチュアの
amateurs	n.アマチュア@n.素人
amaze	vt.驚かせる@n.驚き
amazed	a.驚いた@v.驚かせた
amazement	n.驚き@n.驚嘆
amazes	vt.驚かせる@vt.びっくりさせる
amazing	a.驚くべき@a.素晴らしい
amazingly	ad.驚くほど@ad.素晴らしく
amazon	n.アマゾン
amazons	n.アマゾン族
ambassador	n.大使@n.使節
ambassadors	n.大使
amber	n.琥珀@n.アンバー@a.琥珀色の
ambiance	n.雰囲気@n.環境
ambience	n.雰囲気@n.環境
ambient	a.周囲の@a.環境の
ambiguities	n.曖昧さ@n.多義性
ambiguity	n.曖昧さ@n.多義性
ambiguous	a.曖昧な@a.両義的な
ambit	n.範囲@n.領域
ambition	n.野心@n.大志
ambitions	n.野心@n.志
ambitious	a.野心的な@a.意欲的な
ambivalence	n.両価性@n.相反する感情
ambivalent	a.相反する@a.両価的な
ambler	n.アンブラー@n.ゆっくり歩く人
ambrose	n.アンブローズ
ambrosia	n.神の食べ物@n.美味
ambulance	n.救急車
ambulances	n.救急車
ambulatory	a.歩行の@a.外来の
ambush	n.待ち伏せ@vt.待ち伏せする
ambushed	vt.待ち伏せした@a.待ち伏せされた
amelia	n.アメリア
ameliorate	vt.改善する@vi.よくなる
amen	int.アーメン@n.賛同
amenable	a.従順な@a.適用できる
amend	vt.修正する@vt.改正する
amended	v.修正した@a.修正された
amending	v.修正する@v.改正する
amendment	n.修正@n.改正
amendments	n.修正@n.改正
amends	n.償い@n.賠償
amenities	n.設備@n.アメニティ
amenity	n.設備@n.快適さ
amer	n.アメリカの
america	n.アメリカ
american	a.アメリカの@n.アメリカ人
americana	n.アメリカーナ
americanism	n.アメリカ風@n.アメリカ英語
americans	n.アメリカ人
americas	n.アメリカ大陸
amethyst	n.アメジスト@n.紫水晶
amharic	n.アムハラ語@a.アムハラ語の
amherst	n.アマースト
ami	n.友人@n.アミ
amiable	a.愛想のよい@a.友好的な
amicable	a.友好的な@a.円満な
amid	prep.の中で@prep.の最中に
amide	n.アミド
amidst	prep.の真ん中に@prep.の中で
amie	n.エイミー
amiga	n.アミガ
amigo	n.友人@n.アミーゴ
amigos	n.友人@n.アミーゴ
amin	n.アミン
amine	n.アミン
amines	n.アミン
amino	n.アミノ
amir	n.アミール
amis	n.アミス
amish	n.アーミッシュ@a.アーミッシュの
amiss	a.具合の悪い@ad.間違って
amity	n.友好@n.親善
amman	n.アンマン
ammo	n.弾薬
ammon	n.アモン
ammonia	n.アンモニア
ammonium	n.アンモニウム
ammunition	n.弾薬@n.攻撃材料
amnesia	n.記憶喪失@n.健忘症
amnesty	n.恩赦@n.大赦
amniotic	a.羊膜の
amoco	n.アモコ
amoeba	n.アメーバ
amok	ad.逆上して@ad.狂乱して
amon	n.アモン
among	prep.〜の中で@prep.〜の間で
amongst	prep.〜の間で@prep.〜の中で
amor	n.アモール@n.愛
amorous	a.恋愛の@a.好色な
amorphous	a.無定形の@a.漠然とした
amortisation	n.償却
amortization	n.償却@n.分割返済
amortized	v.償却した@a.分割払いの
amos	n.アモス
amount	n.量@n.金額
amounted	v.達した@v.合計した
amounting	v.合計する@v.なる
amounts	n.量@v.〜になる
amour	n.恋愛@n.情事
amoxicillin	n.アモキシシリン
amp	n.アンプ@n.アンペア
ampere	n.アンペア
ampersand	n.アンパサンド
amphetamine	n.アンフェタミン
amphetamines	n.アンフェタミン
amphibian	n.両生類@a.水陸両用の
amphibians	n.両生類
amphibious	a.水陸両用の@a.両生類の
amphitheatre	n.円形劇場
ampicillin	n.アンピシリン
ample	a.十分な@a.広い
amplification	n.増幅@n.拡大
amplified	v.増幅した@a.拡大された
amplifier	n.アンプ@n.増幅器
amplifiers	n.アンプ@n.増幅器
amplify	v.増幅する@v.拡大する
amplifying	vt.増幅する@vt.拡大する
amplitude	n.振幅@n.広さ
amplitudes	n.振幅@n.大きさ
amply	ad.十分に@ad.たっぷりと
amps	n.アンプ@n.アンペア
amputation	n.切断@n.切断術
amputee	n.切断手術を受けた人
amritsar	n.アムリトサル
amsterdam	n.アムステルダム
amt	n.金額@n.代替ミニマム税
amtrak	n.アムトラック
amu	n.原子質量単位
amulet	n.お守り@n.護符
amulets	n.お守り@n.護符
amuse	vt.楽しませる@vt.面白がらせる
amused	a.面白がった@v.楽しませた
amusement	n.娯楽@n.楽しみ
amusements	n.娯楽@n.楽しみ
amusing	a.面白い@a.愉快な
amway	n.アムウェイ
amy	n.エイミー
amygdala	n.扁桃体
amylase	n.アミラーゼ
amyloid	n.アミロイド@a.アミロイドの
an	art.—
ana	n.アナ
anabolic	a.同化の@a.タンパク同化の
anaconda	n.アナコンダ
anaemia	n.貧血
anaerobic	a.嫌気性の
anaesthesia	n.麻酔
anaesthetic	n.麻酔薬@a.麻酔の
anagram	n.アナグラム@n.文字の並べ替え
anagrams	n.アナグラム@n.文字の並べ替え
anaheim	n.アナハイム
anal	a.肛門の
analgesia	n.鎮痛@n.無痛覚
analgesic	n.鎮痛剤@a.鎮痛の
analgesics	n.鎮痛剤
analog	a.アナログの@n.アナログ
analogies	n.類似@n.アナロジー
analogous	a.類似した@a.相似の
analogs	n.類似物@n.アナログ
analogue	n.アナログ@a.アナログの
analogues	n.類似物@n.アナログ
analogy	n.類推@n.類似
analyse	vt.分析する
analysed	v.分析した@a.分析された
analyser	n.分析器@n.解析装置
analysers	n.分析器（複数形）
