the	art+m.یہ@art+f.یہ
average	n+m.اوسط@a.اوسط
done	v.کیا@a.مکمل
technical	a.تکنیکی
window	n+f.کھڑکی
france	n+m.فرانس
pro	n+m.پیشہ ور@a.حامی
region	n+m.علاقہ@n+f.خطہ
island	n+m.جزیرہ
record	n+m.ریکارڈ@v.ریکارڈ کرنا
direct	a.براہ راست@v.ہدایت کرنا
microsoft	n+m.مائیکروسافٹ
conference	n+f.کانفرنس
environment	n+m.ماحول
records	n+m.ریکارڈز@v.ریکارڈ کرتا ہے
st	n+m.سینٹ
district	n+m.ضلع
calendar	n+m.کیلنڈر
costs	n+f.لاگت@v.قیمت لگتی ہے
style	n+m.انداز@n+f.سٹائل
front	n+m.سامنے@a.سامنے کا
statement	n+m.بیان
update	v.اپ ڈیٹ کرنا@n+f.اپ ڈیٹ
parts	n+m.حصے
aug	n+m.اگست
ever	ad.کبھی
downloads	n+m.ڈاؤن لوڈز@v.ڈاؤن لوڈ کرتا ہے
early	a.ابتدائی@ad.جلدی
miles	n+m.میل
sound	n+f.آواز@v.بجنا@a.صحیح
resource	n+m.وسیلہ
present	a.موجود@n+m.تحفہ@v.پیش کرنا
applications	n+f.درخواستیں@n+m.ایپلیکیشنز
either	conj.یا@a.دونوں میں سے کوئی
ago	ad.پہلے
document	n+m.دستاویز@v.دستاویز بنانا
word	n+m.لفظ
works	n+m.کام@v.کام کرتا ہے
material	n+m.مواد@a.مادی
bill	n+m.بل@n+m.بل
apr	n+m.اپریل
written	v.لکھا@a.تحریری
talk	v.بات کرنا@n+f.بات
federal	a.وفاقی
hosting	n+f.ہوسٹنگ@v.میزبانی کر رہا ہے
rules	n+m.قواعد@v.حکومت کرتا ہے
final	a.آخری@n+m.فائنل
adult	n+m.بالغ@a.بالغ
tickets	n+m.ٹکٹ
thing	n+f.چیز
centre	n+m.مرکز
requirements	n+f.ضروریات
via	prep.کے ذریعے
cheap	a.سستا@a.سستی
nude	a.ننگا@n+m.عریاں
kids	n+m.بچے
finance	n+f.مالیات@v.مالی مدد کرنا
true	a.سچ@a.حقیقی
minutes	n+m.منٹ
else	ad.اور@a.اور
mark	n+m.نشان@v.نشان لگانا@n+m.مارک
third	a+m.تیسرا@a+f.تیسری@n+m.تیسرا
rock	n+f.چٹان@n+m.راک@v.ہلنا
gifts	n+m.تحائف
europe	n+m.یورپ
reading	n+f.پڑھائی@v.پڑھ رہا ہے
topics	n+m.موضوعات
bad	a+m.برا@a+f.بری
individual	n+m.فرد@a.انفرادی
tips	n+m.ٹپس@n+f.تجاویز
plus	prep.جمع@a.مثبت@conj.اور
auto	n+f.گاڑی@a.خودکار
cover	v.ڈھانپنا@n+m.کور@n+m.غلاف
usually	ad.عام طور پر
edit	v.ترمیم کرنا@n+f.ترمیم
together	ad.اکٹھے@ad.مل کر
videos	n+f.ویڈیوز
percent	n+m.فیصد
fast	a.تیز@ad.تیزی سے
function	n+m.فنکشن@n+m.کام@v.کام کرنا
fact	n+f.حقیقت
unit	n+f.اکائی@n+m.یونٹ
getting	v.حاصل کر رہا ہے
global	a.عالمی
tech	n+f.ٹیکنالوجی@a.تکنیکی
meet	v.ملنا@n+f.میٹنگ
far	a.دور@ad.دور
economic	a.معاشی@a.اقتصادی
player	n+m.کھلاڑی@n+m.پلیئر
projects	n+m.منصوبے@v.پیش کرتا ہے
lyrics	n+m.بول
often	ad.اکثر
subscribe	v.سبسکرائب کرنا
submit	v.جمع کرانا
germany	n+m.جرمنی
amount	n+f.رقم@n+m.مقدار
watch	v.دیکھنا@n+f.گھڑی
included	v.شامل کیا@a.شامل
feel	v.محسوس کرنا@n+m.احساس
though	conj.اگرچہ@ad.تاہم
bank	n+m.بینک@n+m.کنارہ
risk	n+m.خطرہ@v.خطرہ مول لینا
thanks	int.شکریہ@n+m.شکریہ
everything	pron.سب کچھ
deals	n+m.سودے@v.معاملہ کرتا ہے
various	a.مختلف@a.متعدد
words	n+m.الفاظ
linux	n+m.لینکس
jul	n+m.جولائی
production	n+f.پیداوار@n+m.پروڈکشن
commercial	a.تجارتی@n+m.اشتہار
james	n+m.جیمز
weight	n+m.وزن
town	n+m.قصبہ@n+m.شہر
heart	n+m.دل
advertising	n+f.تشہیر@n+f.اشتہار بازی
received	v.موصول ہوا@v.حاصل کیا
choose	v.منتخب کرنا
treatment	n+m.علاج@n+f.سلوک
newsletter	n+m.نیوز لیٹر
archives	n+m.محفوظات
points	n+m.پوائنٹس@n+m.نکات
knowledge	n+m.علم
magazine	n+m.رسالہ@n+f.میگزین
error	n+f.غلطی@n+m.ایرر
camera	n+m.کیمرہ
jun	n+m.جون
girl	n+f.لڑکی
currently	ad.فی الحال
construction	n+f.تعمیر
toys	n+m.کھلونے
registered	a.رجسٹرڈ@v.رجسٹر کیا
clear	a.صاف@v.صاف کرنا
golf	n+m.گالف
receive	v.حاصل کرنا
domain	n+m.ڈومین@n+m.علاقہ
methods	n+m.طریقے
chapter	n+m.باب@n+m.چیپٹر
makes	v.بناتا ہے
protection	n+f.حفاظت
policies	n+f.پالیسیاں
loan	n+m.قرض@v.قرض دینا
wide	a+m.چوڑا@a+f.چوڑی@a.وسیع
beauty	n+f.خوبصورتی
manager	n+m.مینیجر@n+m.منتظم
india	n+m.انڈیا@n+m.ہندوستان
position	n+f.پوزیشن@n+m.مقام@v.رکھنا
taken	v.لیا@a.لیا ہوا
sort	n+f.قسم@v.ترتیب دینا
listings	n+f.فہرستیں
models	n+m.ماڈلز
michael	n+m.مائیکل
known	a.معروف@v.جانا
half	n+m.آدھا@a.آدھا
cases	n+m.کیسز@n+m.معاملات
step	n+m.قدم@v.قدم رکھنا
engineering	n+f.انجینئرنگ
florida	n+m.فلوریڈا
simple	a.سادہ@a.آسان
quick	a.تیز@ad.جلدی
none	pron.کوئی نہیں
wireless	a.وائرلیس@a.بے تار
license	n+m.لائسنس@v.لائسنس دینا
paul	n+m.پال
friday	n+m.جمعہ
lake	n+f.جھیل
whole	a.پورا@a.سارا@n+m.کل
annual	a.سالانہ
published	v.شائع کیا@a.شائع شدہ
later	ad.بعد میں@a.بعد کا
basic	a.بنیادی
sony	n+m.سونی
shows	n+m.شوز@v.دکھاتا ہے
corporate	a.کارپوریٹ@a.کمپنی کا
google	n+m.گوگل@v.گوگل کرنا
church	n+m.چرچ@n+m.گرجا
method	n+m.طریقہ
purchase	v.خریدنا@n+f.خریداری
customers	n+m.گاہک
active	a.فعال@a.متحرک
response	n+m.جواب@n+f.ردعمل
practice	n+f.مشق@v.مشق کرنا
hardware	n+m.ہارڈ ویئر
figure	n+f.شکل@n+m.عدد@v.سمجھنا
materials	n+m.مواد@n+f.سامان
fire	n+f.آگ@v.آگ لگانا@v.برطرف کرنا
holiday	n+f.چھٹی@n+m.تعطیل
chat	v.بات چیت کرنا@n+f.بات چیت
enough	a.کافی@ad.کافی
designed	v.ڈیزائن کیا@a.بنایا گیا
along	prep.کے ساتھ@ad.ساتھ ساتھ
among	prep.کے درمیان@prep.میں سے
death	n+f.موت
writing	n+f.تحریر@v.لکھ رہا ہے
speed	n+f.رفتار@v.تیز کرنا
countries	n+m.ممالک
loss	n+m.نقصان
face	n+m.چہرہ@v.سامنا کرنا
brand	n+m.برانڈ@v.داغ لگانا
discount	n+f.چھوٹ@v.چھوٹ دینا
higher	a.زیادہ@a.اعلیٰ
effects	n+m.اثرات
created	v.بنایا@a.تخلیق شدہ
remember	v.یاد رکھنا
standards	n+m.معیار
oil	n+m.تیل
bit	n+m.ٹکڑا@n+f.بٹ@ad.تھوڑا
yellow	a+m.پیلا@a+f.پیلی@n+m.پیلا رنگ
political	a.سیاسی
increase	v.بڑھانا@n+m.اضافہ
advertise	v.اشتہار دینا
kingdom	n+f.سلطنت@n+m.بادشاہت
base	n+f.بنیاد@v.بنیاد رکھنا@a.کمینہ
near	prep.کے قریب@a.قریب@ad.نزدیک
environmental	a.ماحولیاتی
thought	n+m.خیال@v.سوچا
stuff	n+m.سامان@v.بھرنا
french	a.فرانسیسی@n+f.فرانسیسی زبان
storage	n+m.ذخیرہ@n+f.اسٹوریج
japan	n+m.جاپان
doing	v.کر رہا ہے
loans	n+m.قرضے
shoes	n+m.جوتے
entry	n+f.اندراج@n+m.داخلہ
stay	v.رہنا@n+f.قیام
nature	n+f.فطرت@n+f.قدرت
orders	n+m.آرڈرز@v.حکم دیتا ہے
availability	n+f.دستیابی
africa	n+m.افریقہ
summary	n+m.خلاصہ
turn	v.موڑنا@n+f.باری
mean	v.مطلب ہونا@a.کمینہ@a.اوسط
growth	n+f.نمو@n+m.ترقی
notes	n+m.نوٹس@v.نوٹ کرتا ہے
agency	n+f.ایجنسی
king	n+m.بادشاہ
monday	n+m.پیر
european	a.یورپی
activity	n+f.سرگرمی
copy	n+f.کاپی@v.نقل کرنا
although	conj.اگرچہ
drug	n+f.دوائی@n+m.نشہ
pics	n+f.تصویریں
western	a.مغربی
income	n+f.آمدنی
force	n+f.طاقت@v.مجبور کرنا
cash	n+m.نقد@v.بھنانا
employment	n+f.ملازمت@n+m.روزگار
overall	a.مجموعی@ad.مجموعی طور پر
bay	n+f.خلیج
river	n+m.دریا
commission	n+m.کمیشن@n+f.کمیٹی
package	n+m.پیکج@n+m.پیکیج@v.پیک کرنا
contents	n+m.مندرجات
seen	v.دیکھا
players	n+m.کھلاڑی
engine	n+m.انجن
port	n+f.بندرگاہ@n+m.پورٹ
album	n+m.البم
regional	a.علاقائی
stop	v.رکنا@n+m.اسٹاپ
supplies	n+m.سامان@v.فراہم کرتا ہے
started	v.شروع کیا@a.شروع شدہ
administration	n+f.انتظامیہ@n+f.حکومت
bar	n+m.بار@n+f.سلاخ
institute	n+m.ادارہ@v.قائم کرنا
views	n+m.نظریات@v.دیکھتا ہے
plans	n+m.منصوبے@v.منصوبہ بناتا ہے
double	a.دگنا@v.دگنا کرنا@n+m.دگنا
dog	n+m.کتا
build	v.تعمیر کرنا@n+f.ساخت
screen	n+f.سکرین@v.جانچ کرنا
exchange	n+m.تبادلہ@v.تبادلہ کرنا
types	n+f.اقسام@v.ٹائپ کرتا ہے
soon	ad.جلد
sponsored	a.سپانسرڈ@v.کفالت کی
lines	n+f.لائنیں@n+f.سطریں
electronic	a.الیکٹرانک
continue	v.جاری رکھنا
across	prep.کے پار@ad.آر پار
benefits	n+m.فوائد@v.فائدہ ہوتا ہے
needed	v.ضرورت تھی@a.ضروری
season	n+m.موسم@v.ذائقہ دینا
apply	v.درخواست دینا@v.لاگو کرنا
someone	pron.کوئی
held	v.رکھا@v.منعقد کیا
anything	pron.کچھ بھی
printer	n+m.پرنٹر
condition	n+f.حالت@n+f.شرط
effective	a.موثر@a.کارآمد
believe	v.یقین کرنا
organization	n+f.تنظیم
effect	n+m.اثر@v.اثر کرنا
asked	v.پوچھا
eur	n+m.یورو
mind	n+m.ذہن@v.اعتراض کرنا
sunday	n+m.اتوار
selection	n+m.انتخاب
casino	n+m.کیسینو
lost	v.کھویا@a.گمشدہ
tour	n+m.دورہ@v.دورہ کرنا
menu	n+m.مینو
volume	n+m.حجم@n+f.جلد
cross	n+f.صلیب@v.پار کرنا@a.ناراض
anyone	pron.کوئی بھی
mortgage	n+m.رہن@v.رہن رکھنا
hope	n+f.امید@v.امید کرنا
silver	n+f.چاندی@a.چاندی کا
corporation	n+f.کارپوریشن
wish	v.خواہش کرنا@n+f.خواہش
inside	prep.کے اندر@ad.اندر@n+m.اندر
solution	n+m.حل@n+m.محلول
mature	a.پختہ@v.پختہ ہونا
role	n+m.کردار
rather	ad.بلکہ@ad.کافی
weeks	n+m.ہفتے
addition	n+m.اضافہ
came	v.آیا
supply	n+f.سپلائی@v.فراہم کرنا
nothing	pron.کچھ نہیں
certain	a.یقینی@a.مخصوص
executive	n+m.ایگزیکٹو@a.انتظامی
running	v.دوڑ رہا ہے@a.جاری
lower	a.نیچے کا@v.کم کرنا
necessary	a.ضروری
union	n+f.یونین@n+m.اتحاد
according	prep.کے مطابق
clothing	n+m.لباس
mon	n+m.پیر
com	n+m.کام@n+f.کمپنی
particular	a.خاص@a.مخصوص
fine	a.عمدہ@a.ٹھیک@n+m.جرمانہ@v.جرمانہ کرنا
names	n+m.نام@v.نام رکھتا ہے
robert	n+m.رابرٹ
homepage	n+m.ہوم پیج
hour	n+m.گھنٹہ
gas	n+f.گیس@n+m.پٹرول
skills	n+f.مہارتیں
six	n+m.چھ@a.چھ
bush	n+f.جھاڑی@n+m.بش
islands	n+m.جزائر
advice	n+f.نصیحت@n+m.مشورہ
career	n+m.کیریئر@n+f.پیشہ
military	a.فوجی@n+f.فوج
rental	n+m.کرایہ@a.کرائے کا
decision	n+m.فیصلہ
leave	v.چھوڑنا@n+f.چھٹی
british	a.برطانوی
teens	n+m.نوعمر
huge	a.بہت بڑا@a.بہت بڑی
sat	v.بیٹھا
woman	n+f.عورت
facilities	n+f.سہولتیں
zip	n+m.زپ@v.زپ لگانا
bid	n+f.بولی@v.بولی لگانا
kind	n+f.قسم@a.مہربان
sellers	n+m.بیچنے والے
middle	n+m.درمیان@a.درمیانی
move	v.حرکت کرنا@n+f.چال
cable	n+f.کیبل@n+m.تار
opportunities	n+m.مواقع
taking	v.لے رہا ہے
values	n+f.اقدار@v.قدر کرتا ہے
division	n+m.تقسیم@n+m.ڈویژن
coming	a.آنے والا@v.آ رہا ہے
tuesday	n+m.منگل
object	n+f.چیز@n+m.آبجیکٹ@v.اعتراض کرنا
lesbian	n+f.ہم جنس پرست عورت@a.ہم جنس پرست
appropriate	a.مناسب@v.مختص کرنا
machine	n+f.مشین
logo	n+m.لوگو
length	n+f.لمبائی
actually	ad.دراصل@ad.واقعی
nice	a.اچھا@a.اچھی@a.خوشگوار
score	n+m.سکور@v.سکور کرنا
statistics	n+f.شماریات
client	n+m.کلائنٹ@n+m.مؤکل
returns	n+f.واپسیاں@v.واپس آتا ہے
capital	n+m.دارالحکومت@n+f.سرمایہ@a.بڑے حروف
follow	v.پیروی کرنا
sample	n+m.نمونہ@v.نمونہ لینا
investment	n+f.سرمایہ کاری
sent	v.بھیجا
shown	v.دکھایا@a.ظاہر
saturday	n+m.ہفتہ
christmas	n+m.کرسمس
england	n+m.انگلینڈ
culture	n+f.ثقافت
band	n+m.بینڈ@n+f.پٹی
flash	n+f.چمک@v.چمکنا@n+m.فلیش
lead	v.قیادت کرنا@n+f.قیادت@n+m.سیسہ
george	n+m.جارج
choice	n+m.انتخاب@n+f.پسند
went	v.گیا
starting	v.شروع کر رہا ہے@a.ابتدائی
registration	n+f.رجسٹریشن
fri	n+m.جمعہ
thursday	n+m.جمعرات
courses	n+m.کورسز
consumer	n+m.صارف
airport	n+m.ہوائی اڈہ
foreign	a.غیر ملکی@a.بیرونی
artist	n+m.فنکار@n+f.فنکارہ
outside	prep.باہر@ad.باہر@n+m.باہر کا حصہ
furniture	n+m.فرنیچر
levels	n+f.سطحیں
channel	n+m.چینل
letter	n+m.خط@n+m.حرف
mode	n+m.طریقہ@n+m.موڈ
phones	n+m.فون
ideas	n+m.خیالات
wednesday	n+m.بدھ
structure	n+f.ساخت@v.ترتیب دینا
fund	n+m.فنڈ@v.فنڈ دینا
summer	n+f.گرمی@n+m.موسم گرما
allow	v.اجازت دینا
degree	n+f.ڈگری@n+m.درجہ
contract	n+m.معاہدہ@v.سکڑنا
button	n+m.بٹن
releases	n+f.ریلیزیں@v.جاری کرتا ہے
wed	v.شادی کرنا@n+m.بدھ
homes	n+m.گھر
super	a.زبردست@a.عمدہ
male	n+m.مرد@a.مذکر
matter	n+m.معاملہ@n+m.مادہ@v.فرق پڑنا
custom	a.کسٹم@n+f.رسم
virginia	n+m.ورجینیا
almost	ad.تقریباً
took	v.لیا
located	v.واقع ہے@a.واقع
multiple	a.متعدد
asian	a.ایشیائی@n+m.ایشیائی
distribution	n+f.تقسیم
editor	n+m.ایڈیٹر@n+m.مدیر
inn	n+m.سرائے
industrial	a.صنعتی
cause	n+f.وجہ@v.باعث بننا
potential	n+f.صلاحیت@a.ممکنہ
song	n+m.گانا@n+f.نظم
ltd	n+f.لمیٹڈ
los	n+m.لاس
focus	n+m.توجہ@v.توجہ دینا
late	a.دیر سے@a+m.مرحوم@a+f.مرحومہ
fall	v.گرنا@n+f.گراوٹ@n+m.خزاں
featured	a.نمایاں@v.نمایاں کیا
idea	n+m.خیال
rooms	n+m.کمرے
female	n+f.عورت@a.مؤنث
responsible	a.ذمہ دار
inc	n+f.انکارپوریٹڈ
communications	n+f.مواصلات
win	v.جیتنا@n+f.جیت
associated	a.منسلک@v.شراکت کی
thomas	n+m.تھامس
primary	a.بنیادی@a.ابتدائی
cancer	n+m.کینسر
numbers	n+m.نمبر@n+f.تعداد
reason	n+f.وجہ@v.استدلال کرنا
tool	n+m.آلہ@n+m.ٹول
browser	n+m.براؤزر
spring	n+f.بہار@n+m.چشمہ@v.چھلانگ لگانا
foundation	n+f.بنیاد@n+f.فاؤنڈیشن
answer	n+m.جواب@v.جواب دینا
voice	n+f.آواز@v.آواز دینا
friendly	a.دوستانہ
schedule	n+m.شیڈول@v.شیڈول بنانا
documents	n+f.دستاویزات
communication	n+f.مواصلت@n+m.رابطہ
purpose	n+m.مقصد
feature	n+f.خصوصیت@v.نمایاں کرنا
bed	n+m.بستر
comes	v.آتا ہے
police	n+f.پولیس
everyone	pron.ہر کوئی
independent	a.آزاد@a.خودمختار
approach	n+m.طریقہ@v.قریب آنا
cameras	n+m.کیمرے
brown	a+m.بھورا@a+f.بھوری@n+m.براؤن
physical	a.جسمانی
operating	v.چلا رہا ہے@a.آپریٹنگ
hill	n+f.پہاڑی
maps	n+m.نقشے
medicine	n+f.دوائی@n+m.طب
deal	n+m.سودا@v.معاملہ کرنا
hold	v.پکڑنا@n+f.گرفت
ratings	n+f.درجہ بندیاں
chicago	n+m.شکاگو
forms	n+m.فارم@v.بناتا ہے
glass	n+m.شیشہ@n+m.گلاس
happy	a.خوش
tue	n+m.منگل
smith	n+m.سمتھ@n+m.لوہار
wanted	v.چاہتا تھا@a.مطلوب
developed	v.ترقی کی@a.ترقی یافتہ
thank	v.شکریہ ادا کرنا
safe	a.محفوظ@n+f.تجوری
unique	a.منفرد
survey	n+m.سروے@v.سروے کرنا
prior	a.پہلے کا@prep.سے پہلے
telephone	n+m.ٹیلی فون@v.ٹیلی فون کرنا
sport	n+m.کھیل
ready	a.تیار
feed	v.کھلانا@n+f.خوراک@n+m.فیڈ
animal	n+m.جانور
sources	n+m.ذرائع
mexico	n+m.میکسیکو
population	n+f.آبادی
regular	a.باقاعدہ
secure	a.محفوظ@v.محفوظ کرنا
navigation	n+f.نیویگیشن@n+f.جہاز رانی
operations	n+m.آپریشنز
therefore	ad.اس لیے
ass	n+m.گدھا@n+f.پیچھا
simply	ad.سادہ طور پر@ad.بس
evidence	n+m.ثبوت
station	n+m.اسٹیشن
christian	a.عیسائی@n+m.عیسائی
round	a+m.گول@n+m.راؤنڈ@prep.کے گرد
paypal	n+m.پے پال
understand	v.سمجھنا
option	n+m.اختیار
master	n+m.ماسٹر@n+m.استاد@v.مہارت حاصل کرنا
valley	n+f.وادی
recently	ad.حال ہی میں
probably	ad.شاید
thu	n+m.جمعرات
rentals	n+m.کرائے
sea	n+m.سمندر
built	v.بنایا@a.تعمیر شدہ
publications	n+f.اشاعتیں
blood	n+m.خون
cut	v.کاٹنا@n+m.کٹ
worldwide	a.دنیا بھر@ad.دنیا بھر میں
improve	v.بہتر بنانا
connection	n+m.کنکشن@n+m.رابطہ
publisher	n+m.ناشر
hall	n+m.ہال
larger	a.بڑا
anti	a.مخالف@prep.کے خلاف
networks	n+m.نیٹ ورکس
earth	n+f.زمین
parents	n+m.والدین
nokia	n+m.نوکیا
impact	n+m.اثر@v.متاثر کرنا
transfer	n+m.منتقلی@v.منتقل کرنا
introduction	n+m.تعارف
kitchen	n+m.باورچی خانہ
strong	a.مضبوط@a.طاقتور
tel	n+m.ٹیلیفون
carolina	n+m.کیرولینا
wedding	n+f.شادی
properties	n+f.جائیدادیں@n+f.خصوصیات
hospital	n+m.ہسپتال
ground	n+f.زمین@n+m.میدان
overview	n+m.جائزہ
ship	n+m.جہاز@v.بھیجنا
accommodation	n+f.رہائش
owners	n+m.مالکان
disease	n+f.بیماری
excellent	a.بہترین
paid	v.ادا کیا@a.تنخواہ دار
italy	n+m.اٹلی
perfect	a.کامل@a.بہترین@v.کامل بنانا
hair	n+m.بال
opportunity	n+m.موقع
kit	n+m.کٹ@n+m.سامان
classic	a.کلاسک@n+m.کلاسک
basis	n+f.بنیاد
command	n+m.حکم@v.حکم دینا
cities	n+m.شہر
william	n+m.ولیم
express	v.اظہار کرنا@a.تیز رفتار@n+f.ایکسپریس
anal	a.مقعدی
award	n+m.انعام@v.انعام دینا
distance	n+f.فاصلہ
tree	n+m.درخت
peter	n+m.پیٹر
assessment	n+m.جائزہ@n+f.تشخیص
ensure	v.یقینی بنانا
thus	ad.اس طرح
wall	n+f.دیوار
involved	a.شامل@v.شامل ہوا
extra	a.اضافی@n+m.اضافی
especially	ad.خاص طور پر
interface	n+m.انٹرفیس@v.رابطہ کرنا
pussy	n+f.بلی
partners	n+m.شراکت دار
budget	n+m.بجٹ@v.بجٹ بنانا
rated	v.درجہ دیا@a.درجہ بند
guides	n+m.رہنما@v.رہنمائی کرتا ہے
success	n+f.کامیابی
maximum	n+m.زیادہ سے زیادہ@a.زیادہ سے زیادہ
operation	n+m.آپریشن@n+m.عمل
existing	a.موجودہ
quite	ad.کافی@ad.بالکل
selected	v.منتخب کیا@a.منتخب
boy	n+m.لڑکا
amazon	n+m.ایمیزون
patients	n+m.مریض
restaurants	n+m.ریستوران
beautiful	a.خوبصورت
warning	n+f.وارننگ@n+f.تنبیہ
wine	n+f.شراب
locations	n+f.جگہیں
horse	n+m.گھوڑا
vote	n+m.ووٹ@v.ووٹ دینا
forward	ad.آگے@v.بھیجنا@a.آگے کا
flowers	n+m.پھول
stars	n+m.ستارے
significant	a.اہم@a.نمایاں
lists	n+f.فہرستیں@v.فہرست بناتا ہے
technologies	n+f.ٹیکنالوجیز
owner	n+m.مالک
retail	n+f.پرچون@a.پرچون
animals	n+m.جانور
useful	a.مفید
directly	ad.براہ راست
manufacturer	n+m.صنعت کار
ways	n+m.طریقے@n+m.راستے
est	a.سب سے
son	n+m.بیٹا
providing	v.فراہم کر رہا ہے@conj.بشرطیکہ
rule	n+m.قاعدہ@v.حکومت کرنا
mac	n+m.میک
housing	n+f.رہائش@n+m.مکانات
takes	v.لیتا ہے
iii	n+m.سوم
bring	v.لانا
searches	n+f.تلاشیں@v.تلاش کرتا ہے
max	n+m.زیادہ سے زیادہ
trying	v.کوشش کر رہا ہے
mother	n+f.ماں
authority	n+f.اتھارٹی@n+m.اختیار
