pl.अंगण	n+m.courtyards
अँजेलो	n+m.angelo
अँझॅक	n.anzac
अँटन	n+m.anton
अँटनी	n.antony
अँटवर्प	n.antwerp
अँटारेस	n.antares
अँटिऑक्सिडंट	n+m.antioxidant
अँटिऑक्सिडंट्स	n+m.antioxidants
अँटिओक	n.antioch
अँटिगा	n+n.antigua
अँटिगोनी	n+f.antigone
अँटिडिप्रेसंट	n+m.antidepressant@n.antidepressants
अँटिब्स	n+m.antibes
अँटिमनी	n+n.antimony
अँटिल्स	n+f.antilles
अँटीफ्रीज	n+n.antifreeze
अँटीव्हायरस	n+m.antivirus@a.antivirus
अँटीहिस्टामाइन	n+m.antihistamine@n+m+pl.antihistamines
अँटॅसिड	n+m.antacids
अँटेना	n+f.aerial@n.aerials@n+f.antenna@n.antennae@n+f.antennas
अँटोइनेट	n.antoinette
अँटोनिया	n.antonia
अँटोनियो	n+m.antonio
अँटोनी	n.antoine
अँट्रिम	n.antrim
अँडरसन	n+m.andersen@n+m.anderson
अँडी	n+m.andy
अँडीज	n.andes
अँडीयन	a.andean
अँडोरन	a.andorran
अँडोरन व्यक्ती	n+m.andorran
अँडोरा	n+n.andorra
अँड्रिया	n+f.andrea
अँड्रेटी	n+m.andretti
अँड्रॉइड	n+m.android
अँड्रोजन	n+m.androgen
अँड्रोमेडा	n.andromeda
अँड्रोस	n+m.andros
अँड्र्यू	n+m.andrew
अँड्र्यूज	n+m.andrews
अँथनी	n+m.anthony
अँथ्रासाइट	n+m.anthracite
अँथ्रॅक्स	n+m.anthrax
अँपरसँड चिन्ह	n+m.ampersand
अँपिअर	n+m.ampere@n+m.amps
अँप्लिफायर	n+m.amplifiers@n+m.amps
अँसेल्म	n+m.anselm
अंक	n+m.digit@n+m.digits@n+m.issue@n+n.issues@n+m.numeral@n.numerals
अंकगणित	n+f.arithmetic
अंकगणितीय	a.arithmetic
अंकशास्त्र	n+f.numerology
अंकसंबंधी	a.numeral
अंकारा	n.ankara
अंकित करणे	v.imprinting
अंकीय	a.numeric@a.numerical
अंकुर	n+m.shoot@n+m.shoots@n+m.sprout@n.sprouts
अंकुरण	n+f.germination@n+n.sprouting
अंकुरणे	vi.sprout@v.sprouting
अंकुरतो	vi.sprouts
अंकुरले	v.sprouted
अंकुरलेला	a.sprouted
अंकोना	n.ancona
अंगकोर	n.angkor
अंगठा	n+m.thumb
अंगठी	n+f.ring@n+f.thimble
अंगठे	n+m.thumbs
अंगठ्या	n+f.rings
अंगठ्याचे नख	n+m.thumbnail
अंगण	n+n.courtyard@n.patios@n+n.yard
अंगणे	n+n.yards
अंगभूत	a.builtin
अंगरक्षक	n+m.bodyguard@n+m.bodyguards
अंगरखा	n+m.tunic
अंगविच्छेदन	n+f.amputation
अंगाई गीत	n+f.lullaby
अंगाईगीते	n+f.lullabies
अंगुली	n+m.finger
अंगोरा	n+m.angora@a.angora
अंगोलन	a.angolan@n+m.angolan
अंगोला	n+n.angola
अंघोळ करत आहे	v.showering
अंघोळ केली	v.showered
अंजीर	n+f.fig@n+f.figs
अंजू	n+m.anjou
अंजेर	n.angers
अंटार्क्टिक	a.antarctic
अंटार्क्टिका	n+f.antarctica
अंडपेशी	n+m.oocyte@n+m+pl.oocytes
अंडरकट	n+m.undercut
अंडररायटिंग	n+n.underwriting
अंडरले	n+m.underlay
अंडरवायर असलेला	a.underwired
अंडरवुड	n+m.underwood
अंडरवेअर	n+m.briefs@n.undies
अंडाकार	n+m.oval
अंडाकृती	a.oval
अंडाकृती आकार	n+n.ovals
अंडालुसिया	n.andalusia
अंडाशय	n.ovaries@n+f.ovary
अंडाशय संबंधी	a.ovarian
अंडी	n+n.eggs@n.ova@n+f.spawn@n+f.spawns
अंडी घालणे	v.laying@n+n.spawning
अंडे	n+n.egg@n+n.ovum
अंडोत्सर्ग	n+f.ovulation
अंड्याचा बलक	n+n.yolk
अंत	n+n.end@n+m.termination
अंतःकरणातून	a.visceral
अंतःकाष्ठ	n+n.heartwood
अंतःपेशीद्रव्यी	a.endoplasmic
अंतःप्रेरणा	n+m.instinct
अंतःस्रावशास्त्र	n+n.endocrinology
अंतःस्रावी	a.endocrine
अंतटीप	n+f.endnote
अंतर	n+n.distance@n+m.gap@n+n.intervals@n+n.lacuna@n+f.mileage@n+n.spacing
अंतर असलेला	a.spaced
अंतर ठेवणारे	n.spacers
अंतरंग	a.intimate
अंतरमापक	n+m.rangefinder
अंतरात्मा	n+f.anima
अंतराल	n+m.interval
अंतरालीय	a.interstitial
अंतराळ	a.aerospace
अंतराळ उड्डाण	n+n.spaceflight
अंतराळ छायाचित्रण	n+f.astrophotography
अंतराळ जीवशास्त्र	n+f.astrobiology
अंतराळ यान	n+n.spacecraft
अंतराळयान	n+n.spaceship
अंतराळविज्ञान	n+f.astronautics
अंतराळवीर	n+m.astronaut@n.astronauts
अंतरिम	a.interim
अंतरीप	n.capes
अंतरे	n+f.distances@n+f.gaps
अंतर्गत	a.insider@a.internal@ad.internally@prep.under
अंतर्गत व्यक्ती	n+m.insider@n+m.insiders
अंतर्ग्रहण	n+f.ingestion
अंतर्जात	a.endogenous@a.inbred
अंतर्ज्ञान	n+f.intuition@n+f.intuitions
अंतर्ज्ञानाने	ad.intuitively
अंतर्ज्ञानाने जाणणे	vt.intuit
अंतर्ज्ञानी	a.intuitive
अंतर्दृष्टी	n+f.insight@n+f.insights
अंतर्दृष्टीपूर्ण	a.insightful
अंतर्निहित	a.implicit@a.implied@a.underlying
अंतर्निहित अर्थ	n+m.subtext
अंतर्निहितपणे	ad.intrinsically
अंतर्प्रजनन	n+n.inbreeding
अंतर्भाग	n+n.hinterland@n+m.inset
अंतर्भाव	n+n.inclusion
अंतर्भूत	a.inherent@a.nested
अंतर्भूत केले	v.embedded@v.entailed
अंतर्वस्त्र	n+f.panties@n+f.panty@n+n.underwear
अंतर्वस्त्रे	n+f.lingerie@n+m.undergarments
अंतर्विष	n+m.endotoxin
अंतर्वेशित	a.interpolated
अंतर्वेशित केले	v.interpolated
अंतशास्त्र	n+f.eschatology
अंतस्तर	n+n.endothelium
अंतहीनपणे	ad.endlessly
अंताल्या	n.antalya
अंतिम	a.definitive@a.eventual@a.final@a.finalised@a.terminal@a.ult@a.ultimate
अंतिम इशारा	n+m.ultimatum
अंतिम करणे	v.finalise@n+f.finalization@vt.finalize
अंतिम करत आहे	v.finalizing
अंतिम केले	v.finalised@vt.finalized
अंतिम खेळ	n+m.endgame
अंतिम तारीख	n+f.deadlines
अंतिम थांबा	n+m.terminus
अंतिम परीक्षा	n+f.finals
अंतिम फेरी	n+f.finals
अंतिम बिंदू	n+m.endpoint@n.endpoints@n+m.terminals
अंतिम मुदत	n+f.deadline
अंतिम स्पर्धक	n+m.finalist@n+m.finalists
अंतिमतः	ad.terminally@ad.ultimately
अंतिमता	n+f.finality
अंत्यसंस्कार	n+f.burial@n+n.funeral@n.funerals
अंत्यसंस्कार करणारा	n+m.undertaker
अंथरुण घातले	v.bedded
अंथरूण	n+f.bedding
अंदमान	n.andaman
अंदांते	ad.andante@n+n.andante
अंदाज	n.approximations@n+f.conjectures@n+m.estimate@n+m.estimates@n+n.estimating@n+n.estimation@n+f+pl.estimations@n+m.forecast@n+f.forecasts@n+m.guess@n.guesses@n+n.guesswork@n+m.hunch@n+m.prediction@n+n.predictions@n+m.projection@n+f.projections@n+m.supposition
अंदाज करणारा	a.predictive
अंदाज करणे	v.approximating@vt.conjecture@vt.estimate@vt.forecast@vt.guess@vt.predict@vt.predicting@vi.speculate
अंदाज करता येणारा	a.foreseeable@a.predictable
अंदाज करतो	v.conjectures@v.forecasts@vt.predicts
अंदाज केला	v.estimated@v.predicted@v.projected
अंदाज लावणारे	n.estimators
अंदाज लावणे	v.estimating@vt.guessing@v.speculating
अंदाज लावतो	v.guesses
अंदाज लावला	v.approximated@vt.guessed@v.speculated
अंदाज वर्तवणारा	n+m.forecaster
अंदाज वर्तवणे	n+n.forecasting
अंदाजकर्ता	n+m.estimator
अंदाजपत्रकीय	a.budgeted
अंदाजित	a.approximated@a.estimated@a.predicted@a.projected
अंदाजे	ad.approx@a.approximate@ad.approximately@a.approximates@a.ballpark@ad.roughly
अंदाधुंद	a.indiscriminate
अंधत्व	n+n.blindness
अंधभक्त	n+m.fanboy
अंधश्रद्धा	n+f.superstition
अंधश्रद्धा वस्तू	n.fetishes
अंधश्रद्धाळू	a.superstitious
अंधार	n+m.darkness@n+m.gloom
अंधार पडणे	n+m.nightfall
अंधार होणे	v.darken
अंधारकोठडी	n+m.dungeon
अंधारखोली	n+m.darkroom
अंधारणे	n+n.darkening
अंधारा	a.dark
अंधारात	ad.darkly
अंधुक	a.cloudy@a.dim@a.shadowy
अंधुकपणे	ad.dimly
अंब्रिया	n.umbria
अंमलबजावणी	n+f.enforcement@n+f.execution@n+f.implementation@n+f.implementations
अंमलबजावणी करणारा	n+m.enforcer@a.implementing
अंमलबजावणी करणे	vt.enforcing@v.implementing
अंमलबजावणीकर्ते	n+m.implementers
अंमलबजावणीयोग्य	a.enforceable
अंमलबजावणीयोग्यता	n+f.enforceability
अंमलात आणणे	v.effectuate@vt.enforce@v.execute@v.executing@vt.implement@vt.implements
अंमलात आणतो	v.enforces@vt.executes
अंमलात आणले	v.executed@v.implemented
अंमलात आणलेला	a.executed
अंमली पदार्थ देणे	vt.dope
अंमली पदार्थ निरीक्षक	n+m.narc
अंश	n+m.deg@n+m.degree@n+n.excerpts@n+f.fraction@n+m.numerator@n+n.part
अंशतः	ad.partially@ad.partly
अंशांकक	n+m.calibrator
अंशांकन	n+n.calibrating@n+n.calibration
अंशांकित करणे	vt.calibrate
अंशात्मक	a.fractional
अंशीकरण	n+f.fractionation
अकबर	n.akbar
अकरा	a.eleven
अकरा संख्या	n+f.eleven
अकरावा	a.eleventh
अकर्मक	a.intr
अकल्पनीय	a.inconceivable@a.unimaginable@a.unthinkable
अकस्मात	a.unexpected
अकाडियन	n+m.acadian@a.acadian
अकाडिया	n.acadia
अकादमी	n+f.academies@n+f.academy
अकापुल्को	n.acapulco
अकार्बनी	a.inorganic
अकार्यक्षम	a.dysfunctional@a.inefficient
अकार्यक्षमता	n+f+pl.inefficiencies@n+f.inefficiency
अकाली	a.premature@ad.prematurely@a.preterm@a.untimely@ad.untimely
अकाली जन्म	n+n.preterm
अकाली जन्मलेले बाळ	n+m.preemie
अकिता	n.akita
अकिलीस	n.achilles
अकीक	n+m.agate
अकुशल	a.unskilled
अकॉर्डियन	n+m.accordion
अकॉस्टिक	a.acoustic
अकोस्टा	n.acosta
अक्रा	n.accra
अक्रोड	n+m.nut@n+m.walnut@n.walnuts
अक्रोड फोडण्याचे साधन	n+m.nutcracker
अक्विटेन	n.aquitaine
अक्विनास	n.aquinas
अक्विनो	n+m.aquino
अक्विला	n.aquila
अक्ष	n+m.axes@n+m.axis@n.axles
अक्षम	a.disable@a.incompetent
अक्षम करणे	v.disable@vt.disabling
अक्षम करतो	vt.disables
अक्षम केले	v.disabled
अक्षमता	n+f.incapacity@n+f.incompetence
अक्षर	n+n.letter@n+m.syllable
अक्षरशः	a.literal@ad.literally
अक्षरशैली	n+f.fonts@n+m.typefaces
अक्षरांकन	n+n.lettering
अक्षरांकित	a.lettered
अक्षरांकीय	a.alphanumeric
अक्षरांतर	n+m.anagram
अक्षरे	n+m.chars@n+n.letters@n.syllables
अक्षरे सांगणे	v.spell@v.spelling
अक्षांश	n+f.lat@n+f.latitude@n.latitudes
अक्षीय	a.axial
अखंड	a.endless@a.intact@a.seamless@a.unbroken@a.uninterrupted@a.uninterruptible@a.unscathed
अखंडत्व	n+n.integrity
अखंडपणे	ad.continuously@ad.incessantly
अगदी	ad.exactly@ad.plumb@ad.quite
अगदी कमी फरकाने	ad.narrowly
अगदी लहान	a.diminutive
अगम्य	a.inaccessible
अगरबत्ती	n+f.incense
अगस्तिन	n+m.agustin
अगाथा	n.agatha
अगादीर	n+n.agadir
अगावे	n+f.agave
अगासी	n.agassi
अगिरे	n.aguirre
अगिलार	n.aguilar
अगोदर असणे	v.preceding
अगोदर पैसे देणे	vt.prepay
अग्निगोला	n+m.fireball
अग्निजन्य	a.igneous
अग्निपेटी	n+m.firebox
अग्निमय	a.fiery
अग्निरोधक	a.fireproof
अग्निरोधक करणे	v.fireproof
अग्निवादळ	n+m.firestorm
अग्निशक्ती	n+f.firepower
अग्निशमन	n+n.firefighting
अग्निशमन केंद्र	n+n.firehouse
अग्निशस्त्र	n+n.firearms
अग्निशामक	n+m.extinguisher@n.extinguishers@n+m.firefighter@n+m.firefighters@n+m.fireman@n.firemen
अग्निस्थान	n+m.fireplace
अग्नी	n+m.agni
अग्रक्रमित	a.preempted
अग्रगण्य	a.foremost@a.leading@a.preeminent
अग्रगामी	a.pioneering
अग्रणी	n+m.pioneer
अग्रदूत	n+m.forerunner@n+m.harbinger
अग्रभाग	n+m.forefront@n+f.frontage@n+n.fronting@n+f.frontline@n+m.vanguard
अग्रभागी	a.frontline
अग्रभूमी	n+m.foreground
अग्रिकोला	n+m.agricola
अग्रिप्पा	n+m.agrippa
अग्रेषण	n+n.forwarding
अग्रेषित	a.forwarded
अग्रेषित करतो	vt.forwards
अघुलनशील	a.insoluble
अघोषित	a.unannounced@a.undeclared
अचक्रीय	a.acyclic
अचल	a.immovable@a.stagnant
अचल राशी	n.invariants
अचलावस्था	n+m.deadlock
अचानक	a.abrupt@ad.abruptly@a.sudden@ad.suddenly
अचानक पडणे	n+f.cropper
अचानक वाढणारा	a.skyrocketing
अचानक हल्ला करणे	v.blindside
अचिन्हांकित	a.unmarked
अचूक	a.accurate@a.exact@a.infallible@a.nailing@a.pinpoint@a.precise
अचूक नसलेला	a.imprecise
अचूकता	n+f.accuracy@n+f.correctness@n+f.precision
अचूकपणे	ad.accurately@ad.precisely
अजगर	n+m.python@n+m.pythons
अजब	a.bizarre
अजमेर	n.ajmer
अजमोदा	n+m.parsley
अजिंक्य	a.insurmountable@a.invincible@a.unbeatable
अजिंक्यपद स्पर्धा	n+f.championship@n+f.championships
अजिओस	n+m.agios
अजून	ad.yet
अजूनही	ad.still
अजॅक्स	n+m.ajax
अजैविक	a.abiotic
अज्ञात	a.uncharted@a.unidentified@a.unknown@a.unsung
अज्ञात गोष्टी	n.unknowns
अज्ञातपण	n+n.obscurity
